# transcript_id -> curated family, derived from Rfam via RNAcentral.
# taxid 10090. Regenerate with bin/python/refdata_generation/build_rfam_family_table.py.
# NOT reference-derived, so unlike hg38.repbase-class-family.tsv this
# is not circular. Validated on hg38: 255 predictions, 255 correct, 0 wrong.
transcript_id	family	rfam_id
ENSMUST00000083018	SNORD	SNORD62
ENSMUST00000083022	SNORA	SNORA24
ENSMUST00000083027	SNORA	SNORA2
ENSMUST00000083032	SNORD	SNORD15
ENSMUST00000083034	SNORD	SNORD47
ENSMUST00000083047	SNORA	SNORA70
ENSMUST00000083048	RNU2	U2
ENSMUST00000083050	SNORD	SNORD73
ENSMUST00000083060	SNORA	SNORA70
ENSMUST00000083061	SNORA	SNORA71
ENSMUST00000083063	SNORA	SNORA25
ENSMUST00000083070	SNORA	SNORA33
ENSMUST00000083079	SNORD	SNORD113
ENSMUST00000083082	SNORA	SNORA3
ENSMUST00000083088	SNORD	SNORD113
ENSMUST00000083094	SNORA	SNORA51
ENSMUST00000083102	SNORA	SNORA70
ENSMUST00000083107	SNORA	SNORA62
ENSMUST00000083112	SNORD	SNORD62
ENSMUST00000083113	YRNA	Y_RNA
ENSMUST00000083127	SNORA	SNORA29
ENSMUST00000083138	SNORA	SNORA73
ENSMUST00000083152	SNORA	SNORA4
ENSMUST00000083153	SNORD	SNORD22
ENSMUST00000083154	SNORA	SNORA67
ENSMUST00000083155	SNORA	SNORA46
ENSMUST00000083163	SNORA	SNORA16
ENSMUST00000083166	SNORA	SNORA57
ENSMUST00000083171	SNORA	SNORA29
ENSMUST00000083176	SNORD	SNORD61
ENSMUST00000083184	SNORA	SNORA54
ENSMUST00000083190	SNORA	SNORA65
ENSMUST00000083207	SNORA	SNORA46
ENSMUST00000083213	SNORA	SNORA31
ENSMUST00000083217	SNORA	SNORA67
ENSMUST00000083224	SNORA	SNORA73
ENSMUST00000083226	SNORD	SNORD79
ENSMUST00000083247	SNORA	SNORA73
ENSMUST00000083248	SNORA	SNORA42
ENSMUST00000083253	SNORA	SNORA36
ENSMUST00000083262	SNORD	SNORD103
ENSMUST00000083266	SNORA	SNORA65
ENSMUST00000083268	SNORA	SNORA20
ENSMUST00000083270	SNORA	SNORA32
ENSMUST00000083274	SNORA	SNORA4
ENSMUST00000083277	SNORA	SNORA50
ENSMUST00000083285	SNORD	SNORD33
ENSMUST00000083292	SNORA	SNORA8
ENSMUST00000083294	SNORD	SNORD81
ENSMUST00000083297	SNORA	SNORA75
ENSMUST00000083298	RNU2	U2
ENSMUST00000083304	RNU2	U2
ENSMUST00000083314	SNORA	SNORA32
ENSMUST00000083321	SNORA	SNORA55
ENSMUST00000083324	SNORD	SNORD24
ENSMUST00000083325	SNORA	SNORA30
ENSMUST00000083328	SNORA	SNORA32
ENSMUST00000083331	SNORA	SNORA32
ENSMUST00000083332	SNORA	SNORA16
ENSMUST00000083338	SNORD	SNORD57
ENSMUST00000083339	SNORD	SNORD83
ENSMUST00000083340	SNORA	SNORA42
ENSMUST00000083346	SNORD	SNORD28
ENSMUST00000083348	SNORA	SNORA18
ENSMUST00000083349	SNORA	SNORA51
ENSMUST00000083353	SNORA	SNORA51
ENSMUST00000083355	SNORD	SNORD56
ENSMUST00000083361	SNORD	SNORD36
ENSMUST00000083363	SNORA	SNORA42
ENSMUST00000083370	SNORA	SNORA22
ENSMUST00000083371	SNORD	SNORD31
ENSMUST00000083419	SNORA	SNORA73
ENSMUST00000083424	SNORD	SNORD14
ENSMUST00000083425	SNORD	SNORD16
ENSMUST00000083426	SNORA	SNORA32
ENSMUST00000083428	SNORA	SNORA71
ENSMUST00000083444	SNORD	SNORD29
ENSMUST00000083445	SNORA	SNORA25
ENSMUST00000083458	SNORD	SNORD26
ENSMUST00000083529	SNORD	SNORD45
ENSMUST00000083686	RNU2	U2
ENSMUST00000083688	RNU2	U2
ENSMUST00000083700	SNORA	SNORA24
ENSMUST00000083703	SNORA	SNORA14
ENSMUST00000083708	SNORA	SNORA69
ENSMUST00000083713	SNORA	SNORA2
ENSMUST00000083715	SNORA	SNORA74
ENSMUST00000083719	SNORA	SNORA38
ENSMUST00000083729	SNORA	SNORA25
ENSMUST00000083735	SNORA	SNORA5
ENSMUST00000083739	SNORA	SNORA71
ENSMUST00000083742	SNORD	SNORD42
ENSMUST00000083752	SNORA	SNORA5
ENSMUST00000083758	SNORA	SNORA36
ENSMUST00000083764	SNORA	SNORA41
ENSMUST00000083767	YRNA	Y_RNA
ENSMUST00000083772	SNORA	SNORA61
ENSMUST00000083775	SNORA	SNORA44
ENSMUST00000083787	YRNA	Y_RNA
ENSMUST00000083791	SNORA	SNORA70
ENSMUST00000083792	SNORA	SNORA73
ENSMUST00000083794	SNORA	SNORA36
ENSMUST00000083800	SNORD	SNORD49
ENSMUST00000083804	SNORD	SNORD45
ENSMUST00000083805	SNORA	SNORA67
ENSMUST00000083815	SNORD	SNORD113
ENSMUST00000083816	SNORA	SNORA5
ENSMUST00000083817	RNU2	U2
ENSMUST00000083818	SNORD	SNORD18
ENSMUST00000083820	SNORA	SNORA44
ENSMUST00000083823	SNORD	SNORD113
ENSMUST00000083844	SNORA	SNORA55
ENSMUST00000083848	SNORD	SNORD30
ENSMUST00000083856	SNORD	SNORD103
ENSMUST00000083865	SNORA	SNORA5
ENSMUST00000083878	SNORA	SNORA42
ENSMUST00000083883	SNORA	SNORA3
ENSMUST00000083884	SNORD	SNORD35
ENSMUST00000083888	SNORD	SNORD15
ENSMUST00000083895	SNORD	SNORD16
ENSMUST00000083906	SNORA	SNORA71
ENSMUST00000083913	SNORA	SNORA32
ENSMUST00000083918	SNORA	SNORA2
ENSMUST00000083919	SNORD	SNORD58
ENSMUST00000083928	SNORA	SNORA67
ENSMUST00000083930	SNORA	SNORA71
ENSMUST00000083940	SNORA	SNORA71
ENSMUST00000083944	SNORD	SNORD34
ENSMUST00000083965	SNORA	SNORA72
ENSMUST00000083970	SNORD	SNORD63
ENSMUST00000083973	RNU2	U2
ENSMUST00000083990	SNORA	SNORA71
ENSMUST00000084005	SNORA	SNORA2
ENSMUST00000084006	SNORA	SNORA21
ENSMUST00000084010	RNU2	U2
ENSMUST00000093556	SNORA	SNORA33
ENSMUST00000093657	SNORA	SNORA21
ENSMUST00000093658	SNORA	SNORA57
ENSMUST00000093660	SNORA	SNORA71
ENSMUST00000097244	SNORD	SNORD115
ENSMUST00000097257	SNORD	SNORD115
ENSMUST00000101803	SNORD	SNORD115
ENSMUST00000101806	RNU2	U2
ENSMUST00000101824	SNORD	SNORD83
ENSMUST00000101832	SNORD	SNORD115
ENSMUST00000101891	SNORD	SNORD116
ENSMUST00000101927	SNORD	SNORD14
ENSMUST00000101992	SNORD	SNORD115
ENSMUST00000101993	SNORD	SNORD50
ENSMUST00000101994	SNORA	SNORA25
ENSMUST00000101995	SNORD	SNORD115
ENSMUST00000102015	SNORD	SNORD115
ENSMUST00000102021	SNORD	SNORD115
ENSMUST00000102033	SNORD	SNORD116
ENSMUST00000103954	SNORA	SNORA17
ENSMUST00000103955	SNORA	SNORA17
ENSMUST00000103956	SNORA	SNORA17
ENSMUST00000103958	SNORA	SNORA17
ENSMUST00000103961	SNORA	SNORA17
ENSMUST00000103962	SNORA	SNORA17
ENSMUST00000103965	SNORA	SNORA17
ENSMUST00000103970	SNORA	SNORA17
ENSMUST00000103972	SNORA	SNORA17
ENSMUST00000103976	SNORA	SNORA17
ENSMUST00000103978	SNORA	SNORA17
ENSMUST00000103979	SNORA	SNORA53
ENSMUST00000103981	SNORA	SNORA17
ENSMUST00000103983	SNORA	SNORA17
ENSMUST00000103984	SNORA	SNORA17
ENSMUST00000103986	SNORA	SNORA17
ENSMUST00000103987	SNORA	SNORA17
ENSMUST00000103988	SNORA	SNORA17
ENSMUST00000103989	SNORA	SNORA17
ENSMUST00000103990	SNORA	SNORA17
ENSMUST00000103992	SNORA	SNORA17
ENSMUST00000103993	SNORA	SNORA17
ENSMUST00000103997	SNORD	SNORD102
ENSMUST00000104003	SNORD	SNORD64
ENSMUST00000104004	SNORA	SNORA17
ENSMUST00000104008	SNORA	SNORA17
ENSMUST00000104009	SNORA	SNORA17
ENSMUST00000104012	SNORA	SNORA17
ENSMUST00000104013	SNORA	SNORA17
ENSMUST00000104014	SNORA	SNORA61
ENSMUST00000104016	SNORA	SNORA17
ENSMUST00000104017	SNORA	SNORA17
ENSMUST00000104020	SNORA	SNORA17
ENSMUST00000104021	SNORA	SNORA17
ENSMUST00000104024	SNORD	SNORD69
ENSMUST00000104026	SNORA	SNORA17
ENSMUST00000104027	SNORA	SNORA17
ENSMUST00000104029	SNORA	SNORA17
ENSMUST00000104032	SNORD	SNORD78
ENSMUST00000104033	SNORD	SNORD67
ENSMUST00000104034	SNORA	SNORA66
ENSMUST00000104035	SNORA	SNORA17
ENSMUST00000104036	SNORA	SNORA17
ENSMUST00000104039	SNORA	SNORA17
ENSMUST00000104040	SNORA	SNORA17
ENSMUST00000104043	SNORA	SNORA17
ENSMUST00000104047	SNORA	SNORA17
ENSMUST00000104049	SNORA	SNORA17
ENSMUST00000104051	SNORD	SNORD66
ENSMUST00000104052	SNORA	SNORA17
ENSMUST00000104055	SNORA	SNORA17
ENSMUST00000104056	SNORA	SNORA17
ENSMUST00000104058	SNORA	SNORA17
ENSMUST00000104062	SNORA	SNORA65
ENSMUST00000104063	SNORA	SNORA17
ENSMUST00000104064	SNORA	SNORA17
ENSMUST00000104066	SNORA	SNORA49
ENSMUST00000104067	SNORA	SNORA17
ENSMUST00000104068	SNORA	SNORA17
ENSMUST00000104069	SNORA	SNORA17
ENSMUST00000104071	SNORA	SNORA17
ENSMUST00000104072	SNORA	SNORA17
ENSMUST00000104076	SNORA	SNORA17
ENSMUST00000104080	SNORA	SNORA17
ENSMUST00000104081	SNORA	SNORA17
ENSMUST00000104082	SNORA	SNORA17
ENSMUST00000104083	SNORA	SNORA17
ENSMUST00000104086	SNORA	SNORA26
ENSMUST00000104087	SNORA	SNORA17
ENSMUST00000104088	SNORA	SNORA69
ENSMUST00000104090	SNORA	SNORA17
ENSMUST00000104091	SNORA	SNORA17
ENSMUST00000104092	SNORA	SNORA17
ENSMUST00000104094	SNORA	SNORA17
ENSMUST00000104098	SNORA	SNORA17
ENSMUST00000104099	SNORA	SNORA17
ENSMUST00000104100	SNORA	SNORA17
ENSMUST00000104101	SNORA	SNORA17
ENSMUST00000104102	SNORA	SNORA17
ENSMUST00000104103	SNORA	SNORA17
ENSMUST00000104104	SNORA	SNORA17
ENSMUST00000104105	SNORA	SNORA17
ENSMUST00000104106	SNORD	SNORD12
ENSMUST00000104107	SNORA	SNORA17
ENSMUST00000104108	SNORA	SNORA17
ENSMUST00000104110	SNORA	SNORA17
ENSMUST00000104114	SNORA	SNORA17
ENSMUST00000104116	SNORA	SNORA17
ENSMUST00000104117	SNORA	SNORA17
ENSMUST00000104118	SNORA	SNORA17
ENSMUST00000104120	SNORA	SNORA17
ENSMUST00000104123	SNORA	SNORA17
ENSMUST00000104124	SNORA	SNORA17
ENSMUST00000104126	SNORA	SNORA17
ENSMUST00000104130	SNORA	SNORA40
ENSMUST00000104132	SNORA	SNORA17
ENSMUST00000104136	SNORA	SNORA17
ENSMUST00000104137	SNORA	SNORA17
ENSMUST00000104140	SNORA	SNORA17
ENSMUST00000104144	SNORA	SNORA17
ENSMUST00000104145	SNORA	SNORA17
ENSMUST00000104148	SNORA	SNORA17
ENSMUST00000104151	SNORA	SNORA17
ENSMUST00000104152	SNORA	SNORA17
ENSMUST00000104154	SNORA	SNORA17
ENSMUST00000104156	SNORA	SNORA17
ENSMUST00000104157	SNORD	SNORD70
ENSMUST00000104160	SNORA	SNORA17
ENSMUST00000104166	SNORA	SNORA42
ENSMUST00000104168	SNORA	SNORA17
ENSMUST00000104169	SNORA	SNORA17
ENSMUST00000104170	SNORD	SNORD70
ENSMUST00000104172	SNORA	SNORA24
ENSMUST00000104173	SNORA	SNORA17
ENSMUST00000104178	SNORA	SNORA17
ENSMUST00000104180	SNORA	SNORA17
ENSMUST00000104188	SNORA	SNORA17
ENSMUST00000104189	SNORA	SNORA17
ENSMUST00000104190	SNORA	SNORA17
ENSMUST00000104191	SNORA	SNORA17
ENSMUST00000104192	SNORA	SNORA68
ENSMUST00000104193	SNORA	SNORA17
ENSMUST00000104197	SNORA	SNORA17
ENSMUST00000104203	SNORA	SNORA12
ENSMUST00000104204	SNORA	SNORA17
ENSMUST00000104205	SNORA	SNORA24
ENSMUST00000104209	SNORA	SNORA17
ENSMUST00000104210	SNORA	SNORA17
ENSMUST00000104211	SNORA	SNORA17
ENSMUST00000104212	SNORA	SNORA17
ENSMUST00000104214	SNORA	SNORA17
ENSMUST00000104216	SNORA	SNORA17
ENSMUST00000104219	SNORA	SNORA17
ENSMUST00000104220	SNORA	SNORA17
ENSMUST00000104222	SNORA	SNORA17
ENSMUST00000104223	SNORA	SNORA17
ENSMUST00000104225	SNORD	SNORD30
ENSMUST00000104227	SNORA	SNORA17
ENSMUST00000104228	SNORA	SNORA17
ENSMUST00000104229	SNORA	SNORA17
ENSMUST00000104230	SNORA	SNORA17
ENSMUST00000104234	SNORA	SNORA17
ENSMUST00000104236	SNORA	SNORA17
ENSMUST00000104237	SNORA	SNORA17
ENSMUST00000104238	SNORA	SNORA66
ENSMUST00000104239	SNORA	SNORA17
ENSMUST00000104242	SNORA	SNORA17
ENSMUST00000104247	SNORA	SNORA17
ENSMUST00000104250	SNORA	SNORA17
ENSMUST00000104251	SNORA	SNORA17
ENSMUST00000104252	SNORD	SNORD101
ENSMUST00000104253	SNORA	SNORA17
ENSMUST00000104254	SNORA	SNORA17
ENSMUST00000104259	SNORA	SNORA17
ENSMUST00000104260	SNORA	SNORA17
ENSMUST00000104263	SNORA	SNORA17
ENSMUST00000104265	SNORA	SNORA17
ENSMUST00000104267	SNORA	SNORA17
ENSMUST00000104268	SNORA	SNORA17
ENSMUST00000104269	SNORD	SNORD65
ENSMUST00000104271	SNORA	SNORA17
ENSMUST00000104272	SNORA	SNORA17
ENSMUST00000104274	SNORA	SNORA17
ENSMUST00000104275	SNORA	SNORA64
ENSMUST00000104277	SNORA	SNORA17
ENSMUST00000104280	SNORA	SNORA17
ENSMUST00000104281	SNORA	SNORA17
ENSMUST00000104282	SNORA	SNORA17
ENSMUST00000104284	SNORA	SNORA17
ENSMUST00000104285	SNORA	SNORA17
ENSMUST00000104286	SNORA	SNORA17
ENSMUST00000104288	SNORA	SNORA17
ENSMUST00000104289	SNORA	SNORA17
ENSMUST00000104293	SNORA	SNORA17
ENSMUST00000104296	SNORA	SNORA17
ENSMUST00000104297	SNORA	SNORA17
ENSMUST00000104300	SNORA	SNORA17
ENSMUST00000104305	SNORD	SNORD91
ENSMUST00000104306	SNORA	SNORA17
ENSMUST00000104307	SNORA	SNORA17
ENSMUST00000104309	SNORA	SNORA26
ENSMUST00000104313	SNORA	SNORA17
ENSMUST00000104314	SNORA	SNORA17
ENSMUST00000104317	SNORA	SNORA26
ENSMUST00000104319	SNORA	SNORA17
ENSMUST00000104326	SNORA	SNORA66
ENSMUST00000104327	SNORD	SNORD12
ENSMUST00000104331	SNORA	SNORA17
ENSMUST00000104332	SNORA	SNORA17
ENSMUST00000104333	SNORA	SNORA17
ENSMUST00000104334	SNORA	SNORA17
ENSMUST00000104338	SNORA	SNORA65
ENSMUST00000104339	SNORD	SNORD41
ENSMUST00000104340	SNORA	SNORA17
ENSMUST00000104349	SNORA	SNORA17
ENSMUST00000104350	SNORA	SNORA17
ENSMUST00000104351	SNORA	SNORA17
ENSMUST00000104352	SNORA	SNORA17
ENSMUST00000104354	SNORA	SNORA17
ENSMUST00000104355	SNORA	SNORA17
ENSMUST00000104357	SNORA	SNORA17
ENSMUST00000104358	SNORA	SNORA17
ENSMUST00000104361	SNORD	SNORD71
ENSMUST00000104364	SNORA	SNORA17
ENSMUST00000104365	SNORA	SNORA17
ENSMUST00000104366	SNORA	SNORA17
ENSMUST00000104367	SNORA	SNORA17
ENSMUST00000104369	SNORD	SNORD86
ENSMUST00000104370	SNORA	SNORA17
ENSMUST00000104371	SNORA	SNORA17
ENSMUST00000104373	SNORA	SNORA17
ENSMUST00000104375	SNORA	SNORA68
ENSMUST00000104376	SNORA	SNORA27
ENSMUST00000104377	SNORD	SNORD12
ENSMUST00000104379	SNORA	SNORA17
ENSMUST00000104381	SNORA	SNORA58
ENSMUST00000104384	SNORA	SNORA17
ENSMUST00000104387	SNORA	SNORA3
ENSMUST00000104388	SNORA	SNORA17
ENSMUST00000104390	SNORA	SNORA17
ENSMUST00000104391	SNORA	SNORA17
ENSMUST00000104393	SNORA	SNORA17
ENSMUST00000104397	SNORA	SNORA17
ENSMUST00000104398	SNORA	SNORA17
ENSMUST00000104399	SNORA	SNORA17
ENSMUST00000104402	SNORA	SNORA17
ENSMUST00000104403	SNORA	SNORA17
ENSMUST00000104404	SNORA	SNORA17
ENSMUST00000104405	SNORA	SNORA17
ENSMUST00000104407	SNORA	SNORA17
ENSMUST00000104411	SNORA	SNORA17
ENSMUST00000104413	SNORA	SNORA17
ENSMUST00000104414	SNORA	SNORA17
ENSMUST00000104415	SNORA	SNORA3
ENSMUST00000104419	SNORA	SNORA17
ENSMUST00000104420	SNORA	SNORA17
ENSMUST00000104421	SNORA	SNORA17
ENSMUST00000104423	SNORA	SNORA74
ENSMUST00000104424	SNORA	SNORA17
ENSMUST00000104425	SNORA	SNORA17
ENSMUST00000104427	SNORD	SNORD115
ENSMUST00000104428	SNORA	SNORA17
ENSMUST00000104429	SNORA	SNORA17
ENSMUST00000104430	SNORA	SNORA17
ENSMUST00000104431	SNORA	SNORA17
ENSMUST00000104436	SNORA	SNORA17
ENSMUST00000104439	SNORA	SNORA17
ENSMUST00000104440	SNORA	SNORA17
ENSMUST00000104441	SNORA	SNORA17
ENSMUST00000104442	SNORA	SNORA17
ENSMUST00000104444	SNORA	SNORA17
ENSMUST00000104447	SNORA	SNORA17
ENSMUST00000104449	SNORD	SNORD91
ENSMUST00000104451	SNORA	SNORA33
ENSMUST00000104453	SNORA	SNORA17
ENSMUST00000104454	SNORA	SNORA17
ENSMUST00000104455	SNORA	SNORA17
ENSMUST00000104456	SNORA	SNORA17
ENSMUST00000104457	SNORD	SNORD115
ENSMUST00000104459	SNORA	SNORA17
ENSMUST00000104460	SNORA	SNORA26
ENSMUST00000104461	SNORD	SNORD86
ENSMUST00000104462	SNORA	SNORA40
ENSMUST00000104465	SNORA	SNORA17
ENSMUST00000104467	SNORA	SNORA17
ENSMUST00000104471	SNORA	SNORA17
ENSMUST00000104472	SNORA	SNORA17
ENSMUST00000104475	SNORA	SNORA17
ENSMUST00000104476	SNORA	SNORA17
ENSMUST00000104479	SNORA	SNORA24
ENSMUST00000104481	SNORA	SNORA17
ENSMUST00000104483	SNORA	SNORA17
ENSMUST00000104484	SNORA	SNORA17
ENSMUST00000104485	SNORA	SNORA17
ENSMUST00000104486	SNORA	SNORA17
ENSMUST00000104487	SNORA	SNORA17
ENSMUST00000104490	SNORA	SNORA17
ENSMUST00000104492	SNORA	SNORA17
ENSMUST00000104493	SNORD	SNORD115
ENSMUST00000104494	SNORA	SNORA17
ENSMUST00000104495	SNORA	SNORA17
ENSMUST00000104497	SNORD	SNORD86
ENSMUST00000104499	SNORA	SNORA17
ENSMUST00000104501	SNORA	SNORA17
ENSMUST00000104502	SNORA	SNORA17
ENSMUST00000104505	SNORA	SNORA17
ENSMUST00000104507	SNORA	SNORA17
ENSMUST00000104509	SNORA	SNORA17
ENSMUST00000104510	SNORD	SNORD12
ENSMUST00000104513	SNORA	SNORA17
ENSMUST00000104514	SNORD	SNORD105
ENSMUST00000104515	SNORA	SNORA17
ENSMUST00000104516	SNORD	SNORD89
ENSMUST00000104519	SNORA	SNORA17
ENSMUST00000104520	SNORA	SNORA17
ENSMUST00000104521	SNORA	SNORA64
ENSMUST00000104522	SNORA	SNORA17
ENSMUST00000104523	SNORA	SNORA40
ENSMUST00000104526	SNORD	SNORD17
ENSMUST00000104528	SNORA	SNORA17
ENSMUST00000104529	SNORA	SNORA17
ENSMUST00000104530	SNORA	SNORA17
ENSMUST00000104531	SNORA	SNORA17
ENSMUST00000104538	SNORA	SNORA17
ENSMUST00000104540	SNORA	SNORA17
ENSMUST00000104542	SNORA	SNORA17
ENSMUST00000104545	SNORA	SNORA17
ENSMUST00000104547	SNORA	SNORA17
ENSMUST00000104548	SNORA	SNORA17
ENSMUST00000104549	SNORD	SNORD72
ENSMUST00000104550	SNORA	SNORA17
ENSMUST00000104553	SNORA	SNORA17
ENSMUST00000104556	SNORA	SNORA17
ENSMUST00000104557	SNORA	SNORA17
ENSMUST00000104561	SNORA	SNORA17
ENSMUST00000104562	SNORA	SNORA17
ENSMUST00000104564	SNORA	SNORA17
ENSMUST00000104568	SNORD	SNORD90
ENSMUST00000104569	SNORA	SNORA42
ENSMUST00000104570	SNORA	SNORA17
ENSMUST00000104571	SNORA	SNORA17
ENSMUST00000104573	SNORA	SNORA17
ENSMUST00000104579	SNORA	SNORA35
ENSMUST00000104580	SNORA	SNORA17
ENSMUST00000104581	SNORA	SNORA29
ENSMUST00000104584	SNORD	SNORD116
ENSMUST00000104588	SNORA	SNORA17
ENSMUST00000104589	SNORA	SNORA17
ENSMUST00000104592	SNORA	SNORA17
ENSMUST00000104594	SNORA	SNORA17
ENSMUST00000104596	SNORA	SNORA17
ENSMUST00000104598	SNORA	SNORA17
ENSMUST00000104599	SNORA	SNORA17
ENSMUST00000104607	SNORA	SNORA17
ENSMUST00000104608	SNORA	SNORA17
ENSMUST00000104609	SNORD	SNORD19
ENSMUST00000104610	SNORA	SNORA17
ENSMUST00000104611	SNORA	SNORA17
ENSMUST00000104616	SNORA	SNORA17
ENSMUST00000116685	SNORD	SNORD93
ENSMUST00000116702	SNORD	SNORD88
ENSMUST00000116708	RNU6ATAC	U6atac
ENSMUST00000116714	SNORA	SNORA77
ENSMUST00000116715	SNORA	SNORA79
ENSMUST00000116723	SNORD	SNORD88
ENSMUST00000116734	RNU6ATAC	U6atac
ENSMUST00000116746	SNORD	SNORD111
ENSMUST00000116763	RNU6ATAC	U6atac
ENSMUST00000116775	RNU6ATAC	U6atac
ENSMUST00000116778	RNU6ATAC	U6atac
